,Full Username,Date of Tweet,Number of Replies,Total Engagements,cleaned tweet,sentiment text,sentiment_prob,tags,outlier_merged,merged_label,merged_description
10,@EseDevlin,2025-07-08,0,0.0,This is like if Lagos govt BRT was run by god is good motors but they just painted a few buses with LAMATA,negative,0.494199008,OTHERS,-1,Noise,Noise
11,@Olakunle_Josh,2025-07-10,0,3.0,"���They come late to work��� I was at ikd terminal yesterday, waiting for brt bus going to Oshodi, I stood there mor dan 2hours just 2 get a bus. Morning in Lagos, there���s always traffic in some areas which made the brt the best option, tell me how people wants to get to work early.",negative,0.615368843,"DELAY, STAFF",1,"Urban Decay, Sanitation Crisis & Symbolic Politics of BRT","This topic captures intense public debate about Lagos “smelling,” environmental degradation around BRT terminals, and sanitation failures. BRT appears as a symbolic site where governance, urban neglect, migration, and identity politics collide. Discussions often escalate into partisan attacks, ethnic blame, and moral judgments, showing how transport infrastructure becomes a proxy for wider urban governance failures."
12,@youngcaesarmike,2025-07-16,1,2.0,"One man laid the foundation for BRT, metro line, ikorodu road, started lekki-epe road, banana island, introduced LASTMA, RRS, started bursary payments to Lagos state indigene, developed Lagos state health care system, design the blue print of the new oshodi, increased teachers",neutral,0.517823398,LEGAL,4,"Political Legacy, Infrastructure Achievement & Elite Narratives","This topic frames BRT as a political and infrastructural achievement, often linked to historical figures like Tinubu and Fashola. It highlights discussions about urban development projects, economic modeling, and governance capacity, frequently used in political discourse to showcase success or draw comparisons with other regions."
13,@Tolu7086,2025-07-17,0,1.0,"I support Tinubu because I witnessed his capacity, not hearsay. He blocked revenue leakages, grew Lagos' economy, and became the first in Nigeria to use Public-Private Partnerships (PPP) to build roads, BRT, and LFTZ, setting a model others now copy. ",positive,0.911270559,"LEGAL, NEWS",4,"Political Legacy, Infrastructure Achievement & Elite Narratives","This topic frames BRT as a political and infrastructural achievement, often linked to historical figures like Tinubu and Fashola. It highlights discussions about urban development projects, economic modeling, and governance capacity, frequently used in political discourse to showcase success or draw comparisons with other regions."
14,@tajudine2013gm2,2025-07-19,0,5.0,"I think you don't know the meaning of visionary, list 2 visionary achievements under Peter Obi as a Governor for 8 years. In Lagos State, we had Eko Atlantic City, Lekki Seaport, Lekki Free Trade Zone, IGR Template, BRT, LG Creations and many others under Tinubu.",neutral,0.634685695,OTHERS,4,"Political Legacy, Infrastructure Achievement & Elite Narratives","This topic frames BRT as a political and infrastructural achievement, often linked to historical figures like Tinubu and Fashola. It highlights discussions about urban development projects, economic modeling, and governance capacity, frequently used in political discourse to showcase success or draw comparisons with other regions."
15,@EmekaNwaGuy,2025-07-20,1,1.0,"Or Post graduate school Half of my classmates back them Dey fixed already. A week after project defense, like 5 of my colleague don migrate go obodo oyinbo, and then there's me hustling BRT, Korope and Danfo in Lagos We thank God",positive,0.525856972,OTHERS,1,"Urban Decay, Sanitation Crisis & Symbolic Politics of BRT","This topic captures intense public debate about Lagos “smelling,” environmental degradation around BRT terminals, and sanitation failures. BRT appears as a symbolic site where governance, urban neglect, migration, and identity politics collide. Discussions often escalate into partisan attacks, ethnic blame, and moral judgments, showing how transport infrastructure becomes a proxy for wider urban governance failures."
16,@OmotayoSolomo10,2025-07-23,0,0.0,"This is what I was trying to explain to jidesanwoolu Mr_JAGs Mautiin01 woye1 Lagos needs to sell all those BRT, ferries, light rail, everything and keep the money in bank Walahi anyone supporting this fraud called obi aye yin ma baje ni",negative,0.511513114,"LEGAL, SUGGESTION",9,Fintech & Payment Systems (Cowry Card),"This topic highlights the integration of technology in BRT services, specifically the Cowry Card payment system. Discussions include its efficiency, ease of use, and occasional issues like card errors or insufficient balance, alongside mentions of fintech companies powering these systems."
17,@callmeidriz,2025-07-25,3,6.0,Ad callmeidriz Jul 25 Better or use BRT sef I still dey talk am Egbeda is the end of Lagos but you guys will think na hate. IyaAfrah Jul 25 Egbeda to Ikorodu!!! Mon lo gan motor pada sile ,neutral,0.492644936,OTHERS,5,Commuter Experience: Daily Challenges & Frustrations,"This topic captures the daily grind of BRT commuters: long queues, delays, discomfort, and the sheer mental and physical toll of Lagos public transport. It reflects a sentiment of struggle and resignation, with expressions of tiredness and frustration dominating the narrative."
18,@AfricaFirsts,2025-07-27,37,2307.0,Lagos is the only city in West Africa with both Light Rail and BRT system.,neutral,0.716819108,NEWS,9,Fintech & Payment Systems (Cowry Card),"This topic highlights the integration of technology in BRT services, specifically the Cowry Card payment system. Discussions include its efficiency, ease of use, and occasional issues like card errors or insufficient balance, alongside mentions of fintech companies powering these systems."
19,@Charliebobo181,2025-07-27,0,0.0,Lagos is the only city in West Africa with both Light Rail and BRT system.,neutral,0.716819108,NEWS,9,Fintech & Payment Systems (Cowry Card),"This topic highlights the integration of technology in BRT services, specifically the Cowry Card payment system. Discussions include its efficiency, ease of use, and occasional issues like card errors or insufficient balance, alongside mentions of fintech companies powering these systems."
20,@adeyemoboi5,2025-07-30,1,4.0,Oshodi - Ajah Lagos BRT is the worst of All transit. You go wait on queue for over 2Hrs . Lagos no be for the weak LagosBrt followlasg lagostraffic961,negative,0.938668787,"DELAY, LEGAL",1,"Urban Decay, Sanitation Crisis & Symbolic Politics of BRT","This topic captures intense public debate about Lagos “smelling,” environmental degradation around BRT terminals, and sanitation failures. BRT appears as a symbolic site where governance, urban neglect, migration, and identity politics collide. Discussions often escalate into partisan attacks, ethnic blame, and moral judgments, showing how transport infrastructure becomes a proxy for wider urban governance failures."
21,@abdullahayofel,2025-07-30,11,326.0,Lagos is the only city in West Africa with both Light Rail and BRT system. It can only be LAGOS ,neutral,0.492449641,OTHERS,9,Fintech & Payment Systems (Cowry Card),"This topic highlights the integration of technology in BRT services, specifically the Cowry Card payment system. Discussions include its efficiency, ease of use, and occasional issues like card errors or insufficient balance, alongside mentions of fintech companies powering these systems."
22,@toxic_nigerian,2025-04-03,0,0.0,This is how you know a government that doesn't care about you and a sign that your country is doomed. Frame 2 : This is BRT lane in Lagos,negative,0.917408466,OTHERS,-1,Noise,Noise
23,@Chibuike_Canada,2025-04-03,2,5.0,This is Lagos where you have to wake up by 3:am to work and use the BRT bus to sleep also come back 11:pm no time to rest ,neutral,0.535064816,OTHERS,5,Commuter Experience: Daily Challenges & Frustrations,"This topic captures the daily grind of BRT commuters: long queues, delays, discomfort, and the sheer mental and physical toll of Lagos public transport. It reflects a sentiment of struggle and resignation, with expressions of tiredness and frustration dominating the narrative."
24,@kaynis1,2025-04-03,0,3.0,Lagos state is run by ppl that don't care about the state. The traffic yesterday should not have or be happening if the brt system was done right.,negative,0.901588261,LEGAL,0,"BRT Lane Enforcement, Traffic Policy & Road Governance","This topic clusters official announcements, news reports, and citizen reactions concerning the enforcement or suspension of BRT lane restrictions—especially on Eko Bridge and Odo Iya-Alaro. It reflects tensions between traffic congestion management, road repairs, enforcement practices, and allegations of extortion by task forces and police. The discourse blends policy communication with everyday commuter frustrations."
25,@real_aahmad,2025-04-04,1,10.0,"You drove on a one-way and or on a BRT lane which might cause a serious gridlock, and when you were challenged, you threatened that you'd call the Governor.",negative,0.80275166,LEGAL,0,"BRT Lane Enforcement, Traffic Policy & Road Governance","This topic clusters official announcements, news reports, and citizen reactions concerning the enforcement or suspension of BRT lane restrictions—especially on Eko Bridge and Odo Iya-Alaro. It reflects tensions between traffic congestion management, road repairs, enforcement practices, and allegations of extortion by task forces and police. The discourse blends policy communication with everyday commuter frustrations."
26,@TholuOla,2025-04-04,0,0.0,"Lagos brt Mr_JAGs abi is this not brt, this is going towards ikeja, i guess",neutral,0.901349247,OTHERS,5,Commuter Experience: Daily Challenges & Frustrations,"This topic captures the daily grind of BRT commuters: long queues, delays, discomfort, and the sheer mental and physical toll of Lagos public transport. It reflects a sentiment of struggle and resignation, with expressions of tiredness and frustration dominating the narrative."
27,@Jammboiy,2025-04-04,0,0.0,This is a Lagos State BRT bus ,neutral,0.93419224,VEHICLE,11,Vehicle & Driver Behavior (Recklessness & Maintenance),"This topic focuses on the conduct of BRT drivers (e.g., over-speeding, recklessness), the condition of the buses (e.g., poor maintenance, lack of AC), and the safety implications. It also covers incidents involving BRT vehicles hitting pedestrians or other vehicles due to perceived negligence."
28,@NewTelegraphNIG,2025-04-05,0,0.0,Panic As BRT Bus Catches Fire In Lagos newtelegraphng.com/panic-as-brt-b.,negative,0.6599195,"VEHICLE, ACCIDENT",3,"Accidents, Fires & Operational Safety Failures","This cluster focuses on BRT-related accidents, bus fires, collisions, and emergency incidents. It emphasizes operational risks, driver conduct, vehicle maintenance, and emergency response. The tone is largely alarmist and incident-driven, reinforcing perceptions of safety vulnerabilities in the system."
29,@NewsWireNGR,2025-04-05,1,2.0,"The driver and conductor of a BRT bus have fled for their lives, abandoning passengers to their fate, as a BRT bus caught fire at Maryland, Lagos State, on Saturday morning newswirengr.com/2025/04/05/a-b.",negative,0.764920115,"VEHICLE, ACCIDENT, STAFF",3,"Accidents, Fires & Operational Safety Failures","This cluster focuses on BRT-related accidents, bus fires, collisions, and emergency incidents. It emphasizes operational risks, driver conduct, vehicle maintenance, and emergency response. The tone is largely alarmist and incident-driven, reinforcing perceptions of safety vulnerabilities in the system."
30,@tkayose,2025-04-05,0,0.0,Nurtw red brt buses too catch fire for Maryland today. Na wa.I hope no life's were lost. The casualties today is already too much .lagos needs prayer o,negative,0.831690073,"VEHICLE, ACCIDENT",3,"Accidents, Fires & Operational Safety Failures","This cluster focuses on BRT-related accidents, bus fires, collisions, and emergency incidents. It emphasizes operational risks, driver conduct, vehicle maintenance, and emergency response. The tone is largely alarmist and incident-driven, reinforcing perceptions of safety vulnerabilities in the system."
31,@kunle_pata,2025-04-05,1,5.0,"If we're being honest, buses like this shouldn't exist on Lagos Road anymore. Unfortunately, the state government does not even maintain our so-called BRT buses despite the fares it collects.",negative,0.892200649,"LEGAL, SUGGESTION",6,"Market Decongestion, Enforcement & Land Disputes","This topic details official efforts to clear illegal traders from BRT stations and public spaces, focusing on environmental enforcement, task force operations, and associated arrests. It also touches on land disputes and protests against government actions related to BRT infrastructure."
32,@NGPremiumTimes,2025-04-05,0,0.0,"Panic in Lagos, as BRT bus bursts into flames, driver, conductor flee. The incident occurred while the bus was en route from Ikorodu to CMS in Lagos.",negative,0.764231861,"VEHICLE, ACCIDENT",3,"Accidents, Fires & Operational Safety Failures","This cluster focuses on BRT-related accidents, bus fires, collisions, and emergency incidents. It emphasizes operational risks, driver conduct, vehicle maintenance, and emergency response. The tone is largely alarmist and incident-driven, reinforcing perceptions of safety vulnerabilities in the system."
33,@PremiumTimesng,2025-04-05,4,12.0,"Panic in Lagos, as BRT bus bursts into flames, driver, conductor flee [premiumtimesng.com/news/top-news/].",negative,0.656695604,"VEHICLE, ACCIDENT",3,"Accidents, Fires & Operational Safety Failures","This cluster focuses on BRT-related accidents, bus fires, collisions, and emergency incidents. It emphasizes operational risks, driver conduct, vehicle maintenance, and emergency response. The tone is largely alarmist and incident-driven, reinforcing perceptions of safety vulnerabilities in the system."
34,@NewsNoirNG,2025-04-05,0,0.0,"Chaos on the Road: Driver, Conductor Flee as BRT Bus Catches Fire in Maryland, Lagos",negative,0.679611027,"VEHICLE, ACCIDENT",3,"Accidents, Fires & Operational Safety Failures","This cluster focuses on BRT-related accidents, bus fires, collisions, and emergency incidents. It emphasizes operational risks, driver conduct, vehicle maintenance, and emergency response. The tone is largely alarmist and incident-driven, reinforcing perceptions of safety vulnerabilities in the system."
35,@isumunna,2025-04-05,0,0.0,"Driver, conductor abandon passengers as BRT bus catches fire in Lagos [newsexpressngr.com/news/256989/dr].",negative,0.708679259,"VEHICLE, ACCIDENT, NEWS",3,"Accidents, Fires & Operational Safety Failures","This cluster focuses on BRT-related accidents, bus fires, collisions, and emergency incidents. It emphasizes operational risks, driver conduct, vehicle maintenance, and emergency response. The tone is largely alarmist and incident-driven, reinforcing perceptions of safety vulnerabilities in the system."
36,@juniike01,2025-04-05,0,0.0,The kind demons wey dey follow enter Lagos brt na case. Sometimes dem fit engage you in serious argument wey be say your mouth fit get muscle pull. dem dey curse die ,negative,0.833631575,STAFF,1,"Urban Decay, Sanitation Crisis & Symbolic Politics of BRT","This topic captures intense public debate about Lagos “smelling,” environmental degradation around BRT terminals, and sanitation failures. BRT appears as a symbolic site where governance, urban neglect, migration, and identity politics collide. Discussions often escalate into partisan attacks, ethnic blame, and moral judgments, showing how transport infrastructure becomes a proxy for wider urban governance failures."
37,@GuardianNigeria,2025-04-05,2,7.0,Passengers escape death in Lagos as BRT bus catches fire. The driver and conductor of a BRT bus reportedly fled for their lives after a BRT vehicle caught fire in .,negative,0.67589432,"VEHICLE, ACCIDENT",3,"Accidents, Fires & Operational Safety Failures","This cluster focuses on BRT-related accidents, bus fires, collisions, and emergency incidents. It emphasizes operational risks, driver conduct, vehicle maintenance, and emergency response. The tone is largely alarmist and incident-driven, reinforcing perceptions of safety vulnerabilities in the system."
38,@westernpost_ng,2025-04-05,0,0.0,Passengers escape death as BRT bus catches fire in Lagos via westernpost_ng,neutral,0.652725458,"VEHICLE, ACCIDENT",3,"Accidents, Fires & Operational Safety Failures","This cluster focuses on BRT-related accidents, bus fires, collisions, and emergency incidents. It emphasizes operational risks, driver conduct, vehicle maintenance, and emergency response. The tone is largely alarmist and incident-driven, reinforcing perceptions of safety vulnerabilities in the system."
39,@Unusual_Tizzle,2025-04-05,1,4.0,THE MAN WHO FOUGHT FIRE. A reckless commercial driver's actions nearly cost lives when a massive red BRT bus caught fire while in motion. But God showed up���������through the courage of one brave man and the swift response of the Lagos State Fire and Rescue S,negative,0.563487947,"ACCIDENT, STAFF",3,"Accidents, Fires & Operational Safety Failures","This cluster focuses on BRT-related accidents, bus fires, collisions, and emergency incidents. It emphasizes operational risks, driver conduct, vehicle maintenance, and emergency response. The tone is largely alarmist and incident-driven, reinforcing perceptions of safety vulnerabilities in the system."
40,@SentinelNewsNG_,2025-04-05,0,1.0,Driver flees as BRT bus catches fire in Lagos,negative,0.660676479,"VEHICLE, ACCIDENT",3,"Accidents, Fires & Operational Safety Failures","This cluster focuses on BRT-related accidents, bus fires, collisions, and emergency incidents. It emphasizes operational risks, driver conduct, vehicle maintenance, and emergency response. The tone is largely alarmist and incident-driven, reinforcing perceptions of safety vulnerabilities in the system."
41,@TheNigerianBar,2025-04-05,0,0.0,Tragic BRT Bus Fire in Lagos: Passengers Left Behind as Driver and Conductor Flee,negative,0.801907897,"VEHICLE, ACCIDENT, STAFF",3,"Accidents, Fires & Operational Safety Failures","This cluster focuses on BRT-related accidents, bus fires, collisions, and emergency incidents. It emphasizes operational risks, driver conduct, vehicle maintenance, and emergency response. The tone is largely alarmist and incident-driven, reinforcing perceptions of safety vulnerabilities in the system."
42,@NaijaVegasTVA,2025-04-06,0,0.0,"A dramatic incident unfolded in the Maryland area of Lagos State on Saturday morning, April 5, 2025, when a BRT bus traveling from Ikorodu to CMS suddenly caught fire.",negative,0.533492625,"VEHICLE, ACCIDENT",3,"Accidents, Fires & Operational Safety Failures","This cluster focuses on BRT-related accidents, bus fires, collisions, and emergency incidents. It emphasizes operational risks, driver conduct, vehicle maintenance, and emergency response. The tone is largely alarmist and incident-driven, reinforcing perceptions of safety vulnerabilities in the system."
43,@AsEDeyhappen001,2025-04-06,0,0.0,"Passengers Escape Unharmed as BRT Bus Catches Fire in Lagos. A commercial bus traveling from Ikorodu to CMS caught fire on Saturday, causing panic among its passengers. Thankfully, no injuries were reported.",neutral,0.605078399,"VEHICLE, ACCIDENT",3,"Accidents, Fires & Operational Safety Failures","This cluster focuses on BRT-related accidents, bus fires, collisions, and emergency incidents. It emphasizes operational risks, driver conduct, vehicle maintenance, and emergency response. The tone is largely alarmist and incident-driven, reinforcing perceptions of safety vulnerabilities in the system."
44,@O8730Bolaji,2025-04-06,0,0.0,Panic As BRT Bus Plying Ikorodu-CMS Catches Fire In Lagos (Video) [bolajiokunola.com/panic-as-brt-b].,neutral,0.673625052,"VEHICLE, ACCIDENT",3,"Accidents, Fires & Operational Safety Failures","This cluster focuses on BRT-related accidents, bus fires, collisions, and emergency incidents. It emphasizes operational risks, driver conduct, vehicle maintenance, and emergency response. The tone is largely alarmist and incident-driven, reinforcing perceptions of safety vulnerabilities in the system."
45,@Adetolaa_a,2025-04-06,1,39.0,"Lagos state need to wrap up this BRT business since they are clearly incompetent. You can't even keep passengers safe. From kidnapping on bus, to bus accident and fire incident",negative,0.943564236,"LEGAL, ACCIDENT, VEHICLE",6,"Market Decongestion, Enforcement & Land Disputes","This topic details official efforts to clear illegal traders from BRT stations and public spaces, focusing on environmental enforcement, task force operations, and associated arrests. It also touches on land disputes and protests against government actions related to BRT infrastructure."
46,@LEGITIMATE_9jar,2025-04-06,0,2.0,"Passengers Escape Tragedy as BRT Bus Catches Fire in Lagos. A commercial bus heading from Ikorodu to CMS caught fire on Saturday, sparking panic among passengers. Fortunately, no injuries were reported.",neutral,0.502212524,"VEHICLE, ACCIDENT",3,"Accidents, Fires & Operational Safety Failures","This cluster focuses on BRT-related accidents, bus fires, collisions, and emergency incidents. It emphasizes operational risks, driver conduct, vehicle maintenance, and emergency response. The tone is largely alarmist and incident-driven, reinforcing perceptions of safety vulnerabilities in the system."
47,@MobilePunch,2025-04-06,8,168.0,"A Bus Rapid Transit vehicle en route from Ikorodu to CMS went up in flames on Saturday morning at Maryland, Lagos State, triggering panic among commuters. Driver, motor boy flee as BRT bus catches fire in Lagos.",negative,0.717523813,"VEHICLE, ACCIDENT",3,"Accidents, Fires & Operational Safety Failures","This cluster focuses on BRT-related accidents, bus fires, collisions, and emergency incidents. It emphasizes operational risks, driver conduct, vehicle maintenance, and emergency response. The tone is largely alarmist and incident-driven, reinforcing perceptions of safety vulnerabilities in the system."
48,@VibesXol123,2025-04-06,0,0.0,"Person wey talk bad about Lagos train dey also talk bad about BRT, I use both abeg ",negative,0.62225467,OTHERS,1,"Urban Decay, Sanitation Crisis & Symbolic Politics of BRT","This topic captures intense public debate about Lagos “smelling,” environmental degradation around BRT terminals, and sanitation failures. BRT appears as a symbolic site where governance, urban neglect, migration, and identity politics collide. Discussions often escalate into partisan attacks, ethnic blame, and moral judgments, showing how transport infrastructure becomes a proxy for wider urban governance failures."
49,@Gidi_Traffic,2025-04-07,1,11.0,"Lagos BRT, what's going on?",neutral,0.919414759,OTHERS,5,Commuter Experience: Daily Challenges & Frustrations,"This topic captures the daily grind of BRT commuters: long queues, delays, discomfort, and the sheer mental and physical toll of Lagos public transport. It reflects a sentiment of struggle and resignation, with expressions of tiredness and frustration dominating the narrative."
50,@PeakNewspaper,2025-04-07,0,0.0,"The driver and conductor of a BRT bus have fled for their lives, abandoning passengers to their fate as a BRT bus caught fire at Maryland, Lagos State.",negative,0.835323811,"VEHICLE, ACCIDENT, STAFF",3,"Accidents, Fires & Operational Safety Failures","This cluster focuses on BRT-related accidents, bus fires, collisions, and emergency incidents. It emphasizes operational risks, driver conduct, vehicle maintenance, and emergency response. The tone is largely alarmist and incident-driven, reinforcing perceptions of safety vulnerabilities in the system."
51,@MayorMillzz,2025-04-13,1,2.0,"Not true, to even start with Ibadan Public hospitals can't even chat to the ones in Lagos, Seyi has tried but Fashola is clear, he brought BRT to Lagos pls tell me how Seyi can surpass that ?",neutral,0.480409771,OTHERS,-1,Noise,Noise
52,@Lagostraffic961,2025-04-12,0,0.0,"On BoSeNLo with Adebowale Yusuff, the spotlight was on public transportation in Lagos as Fola Tinubu, MD/CEO of Primero Transport Services Limited, shared deep insights into the challenges, opportunities, and future of BRT operations in the state.",neutral,0.737469137,NEWS,4,"Political Legacy, Infrastructure Achievement & Elite Narratives","This topic frames BRT as a political and infrastructural achievement, often linked to historical figures like Tinubu and Fashola. It highlights discussions about urban development projects, economic modeling, and governance capacity, frequently used in political discourse to showcase success or draw comparisons with other regions."
53,@ay00_1u,2025-03-02,0,0.0,I've seen a few in Lagos. Been seeing Ogun state powered CNG BRT buses since 2023 too,neutral,0.883195996,OTHERS,6,"Market Decongestion, Enforcement & Land Disputes","This topic details official efforts to clear illegal traders from BRT stations and public spaces, focusing on environmental enforcement, task force operations, and associated arrests. It also touches on land disputes and protests against government actions related to BRT infrastructure."
54,@Awesome_Fola,2025-03-02,3,7.0,Lagos boy in the mud - I didn't even notice that BRT buses don't work on Sundays and I have lived all my life here. Lbsing Fxck,negative,0.912973046,OTHERS,5,Commuter Experience: Daily Challenges & Frustrations,"This topic captures the daily grind of BRT commuters: long queues, delays, discomfort, and the sheer mental and physical toll of Lagos public transport. It reflects a sentiment of struggle and resignation, with expressions of tiredness and frustration dominating the narrative."
55,@Aregbaba,2025-03-03,0,0.0,"Traffic on pedestrian bridge at Oshodi Railway/BRT terminal area, Lagos state. followlasg come to the people's aid before we experience collapse.",negative,0.828189552,"INFRASTRUCTURE, NEWS",1,"Urban Decay, Sanitation Crisis & Symbolic Politics of BRT","This topic captures intense public debate about Lagos “smelling,” environmental degradation around BRT terminals, and sanitation failures. BRT appears as a symbolic site where governance, urban neglect, migration, and identity politics collide. Discussions often escalate into partisan attacks, ethnic blame, and moral judgments, showing how transport infrastructure becomes a proxy for wider urban governance failures."
